"region";"år";"statistikkvariabel";"06913: Befolkning og endringer, etter region, år og statistikkvariabel"
"K_3105 Sarpsborg";"1952";"Døde";294
"K_3105 Sarpsborg";"1953";"Befolkning 1. januar";35447
"K_3105 Sarpsborg";"1953";"Levendefødte";660
"K_3105 Sarpsborg";"1953";"Døde";297
"K_3105 Sarpsborg";"1954";"Befolkning 1. januar";35845
"K_3105 Sarpsborg";"1954";"Levendefødte";628
"K_3105 Sarpsborg";"1954";"Døde";252
"K_3105 Sarpsborg";"1955";"Befolkning 1. januar";36469
"K_3105 Sarpsborg";"1955";"Levendefødte";565
"K_3105 Sarpsborg";"1955";"Døde";288
"K_3105 Sarpsborg";"1956";"Befolkning 1. januar";36739
"K_3105 Sarpsborg";"1956";"Levendefødte";638
"K_3105 Sarpsborg";"1956";"Døde";300
"K_3105 Sarpsborg";"1957";"Befolkning 1. januar";37235
"K_3105 Sarpsborg";"1957";"Levendefødte";656
"K_3105 Sarpsborg";"1957";"Døde";285
"K_3105 Sarpsborg";"1958";"Befolkning 1. januar";37780
"K_3105 Sarpsborg";"1958";"Levendefødte";656
"K_3105 Sarpsborg";"1958";"Døde";344
"K_3105 Sarpsborg";"1959";"Befolkning 1. januar";38106
"K_3105 Sarpsborg";"1959";"Levendefødte";677
"K_3105 Sarpsborg";"1959";"Døde";348
"K_3105 Sarpsborg";"1960";"Befolkning 1. januar";38446
"K_3105 Sarpsborg";"1960";"Levendefødte";624
"K_3105 Sarpsborg";"1960";"Døde";347
"K_3105 Sarpsborg";"1961";"Befolkning 1. januar";38747
"K_3105 Sarpsborg";"1961";"Levendefødte";656
"K_3105 Sarpsborg";"1961";"Døde";353
"K_3105 Sarpsborg";"1962";"Befolkning 1. januar";39278
"K_3105 Sarpsborg";"1962";"Levendefødte";651
"K_3105 Sarpsborg";"1962";"Døde";349
"K_3105 Sarpsborg";"1963";"Befolkning 1. januar";39669
"K_3105 Sarpsborg";"1963";"Levendefødte";603
"K_3105 Sarpsborg";"1963";"Døde";385
"K_3105 Sarpsborg";"1964";"Befolkning 1. januar";39760
"K_3105 Sarpsborg";"1964";"Levendefødte";693
"K_3105 Sarpsborg";"1964";"Døde";348
"K_3105 Sarpsborg";"1965";"Befolkning 1. januar";40275
"K_3105 Sarpsborg";"1965";"Levendefødte";666
"K_3105 Sarpsborg";"1965";"Døde";361
"K_3105 Sarpsborg";"1966";"Befolkning 1. januar";40688
"K_3105 Sarpsborg";"1966";"Levendefødte";649
"K_3105 Sarpsborg";"1966";"Døde";386
"K_3105 Sarpsborg";"1967";"Befolkning 1. januar";40658
"K_3105 Sarpsborg";"1967";"Levendefødte";670
"K_3105 Sarpsborg";"1967";"Døde";381
"K_3105 Sarpsborg";"1968";"Befolkning 1. januar";41024
"K_3105 Sarpsborg";"1968";"Levendefødte";669
"K_3105 Sarpsborg";"1968";"Døde";447
"K_3105 Sarpsborg";"1969";"Befolkning 1. januar";41719
"K_3105 Sarpsborg";"1969";"Levendefødte";725
"K_3105 Sarpsborg";"1969";"Døde";415
"K_3105 Sarpsborg";"1970";"Befolkning 1. januar";42496
"K_3105 Sarpsborg";"1970";"Levendefødte";650
"K_3105 Sarpsborg";"1970";"Døde";429
"K_3105 Sarpsborg";"1971";"Befolkning 1. januar";43352
"K_3105 Sarpsborg";"1971";"Levendefødte";675
"K_3105 Sarpsborg";"1971";"Døde";476
"K_3105 Sarpsborg";"1972";"Befolkning 1. januar";43895
"K_3105 Sarpsborg";"1972";"Levendefødte";734
"K_3105 Sarpsborg";"1972";"Døde";427
"K_3105 Sarpsborg";"1973";"Befolkning 1. januar";44037
"K_3105 Sarpsborg";"1973";"Levendefødte";668
"K_3105 Sarpsborg";"1973";"Døde";489
"K_3105 Sarpsborg";"1974";"Befolkning 1. januar";44654
"K_3105 Sarpsborg";"1974";"Levendefødte";673
"K_3105 Sarpsborg";"1974";"Døde";473
"K_3105 Sarpsborg";"1975";"Befolkning 1. januar";44967
"K_3105 Sarpsborg";"1975";"Levendefødte";597
"K_3105 Sarpsborg";"1975";"Døde";488
"K_3105 Sarpsborg";"1976";"Befolkning 1. januar";45124
"K_3105 Sarpsborg";"1976";"Levendefødte";611
"K_3105 Sarpsborg";"1976";"Døde";442
"K_3105 Sarpsborg";"1977";"Befolkning 1. januar";45398
